"Issue Type","Epic Name","Summary","Description","Labels","Epic Link"
"STORY","","As an HR user, I want to run joiners/leavers/status change reports so that I can monitor workforce movement.","As an HR user, I want to run joiners/leavers/status change reports so that I can monitor workforce movement.

Requirements: PW-CORE-07, PW-CORE-08

Acceptance Criteria:
- Given I select a date range and Joiners, when I run the report, then I see Employees whose first Active status fell within that range.
- Given I select a date range and Leavers, when I run the report, then I see Employees whose status changed to Exited within that range.
- Given I select Status changes for a period, when I run the report, then I see all status history entries in that range grouped by Employee.","PeopleCore","Manage Employment Lifecycle"
"STORY","","As an HR user, I want to capture employee dependents so that I can determine basic wellness program eligibility.","As an HR user, I want to capture employee dependents so that I can determine basic wellness program eligibility.

Requirements: PW-CORE-09, PW-CORE-10

Acceptance Criteria:
- Given an Employee exists, when I add a dependent with relationship, date of birth and a health cover flag, then the system saves the dependent linked to that Employee.
- Given I view an Employee profile, when dependents exist, then I see a simple list of dependents with relationship, DOB and cover flag only.
- Given I export wellness eligibility data, when the export runs, then it includes Employee and basic dependent fields without full benefits structures.","PeopleCore","Enrich Employee Context"
"STORY","","As an HR user, I want to record simple education and professional qualifications so that managers have context for performance and development.","As an HR user, I want to record simple education and professional qualifications so that managers have context for performance and development.

Requirements: PW-CORE-11, PW-CORE-13

Acceptance Criteria:
- Given a Person exists, when I add a qualification with type, institution, name, level and completion year, then the system stores it linked to that Person.
- Given a Person has multiple qualifications, when I view their profile, then I see a list of qualifications sorted by completion year.
- Given deep subject hierarchies are out of scope, when I record qualifications, then the UI only exposes simple summary fields.","PeopleCore","Enrich Employee Context"
"STORY","","As an HR user, I want to record prior employment history so that managers can quickly understand an employee’s background.","As an HR user, I want to record prior employment history so that managers can quickly understand an employee’s background.

Requirements: PW-CORE-12, PW-CORE-13

Acceptance Criteria:
- Given a Person exists, when I add prior employment with employer, role title, start date and end date, then the system stores it linked to that Person.
- Given a Person has multiple prior employment entries, when I view them, then they are shown in chronological order with summary fields only.","PeopleCore","Enrich Employee Context"
"STORY","","As an HR or wellness admin, I want to maintain a wellness engagement profile for each employee so that wellness nudges and AI insights can be tailored.","As an HR or wellness admin, I want to maintain a wellness engagement profile for each employee so that wellness nudges and AI insights can be tailored.

Requirements: PW-CORE-14, PW-CORE-15

Acceptance Criteria:
- Given an Employee exists, when I set their consent flag, preferred channel and engagement tags, then the system stores a wellness engagement profile for that Employee.
- Given engagement tags change over time, when I view the profile, then I see the latest tags that can be used as context by AI features.
- Given an AI feature requests context, when the system assembles the context, then it can include non-clinical wellness profile fields for that Employee.","PeopleCore","Wellness Engagement Profile"
"STORY","","As a compliance officer, I want wellness engagement data to be protected from punitive use so that employees can trust the system.","As a compliance officer, I want wellness engagement data to be protected from punitive use so that employees can trust the system.

Requirements: PW-CORE-16

Acceptance Criteria:
- Given I am building a disciplinary report, when I select filters, then wellness engagement fields are not offered as primary filters for punitive lists.
- Given an API consumer requests wellness engagement data, when documentation is generated or viewed, then it clearly states that the data is for engagement and coaching, not disciplinary automation.","PeopleCore","Wellness Engagement Profile"
"STORY","","As an HR admin, I want to maintain an org unit hierarchy so that departments, teams and cost centres are clearly structured.","As an HR admin, I want to maintain an org unit hierarchy so that departments, teams and cost centres are clearly structured.

Requirements: PW-ORG-01, PW-ORG-02

Acceptance Criteria:
- Given I create an Org Unit without a parent, when I save it, then it becomes a top-level Org Unit in my tenant.
- Given I create an Org Unit with a parent, when I save it, then the system records the parent-child relationship and shows it in the tree.
- Given Org Units have effective from and to dates, when I view the active structure for a date, then only Org Units whose effective period covers that date are shown as active.","WorkLattice","Design Org Structure & Hierarchy"
"STORY","","As an HR user, I want to define job roles so that positions and performance templates can reference consistent role definitions.","As an HR user, I want to define job roles so that positions and performance templates can reference consistent role definitions.

Requirements: PW-ORG-03, PW-ORG-04

Acceptance Criteria:
- Given I create a Job Role with name, description, family and level, when I save it, then the Job Role is available for positions and templates.
- Given a Job Role is referenced by positions, when I update its description or job family, then all referencing positions remain linked to the updated role.","WorkLattice","Define Job Roles & Requirements"
"STORY","","As an HR user, I want to capture simple job requirements for each role so that performance and development have clear context.","As an HR user, I want to capture simple job requirements for each role so that performance and development have clear context.

Requirements: PW-ORG-09, PW-ORG-10

Acceptance Criteria:
- Given a Job Role exists, when I enter minimum qualification level, desired years of experience and key skills tags, then the system stores these as job requirements.
- Given job requirements exist, when a manager views an employee’s profile or appraisal, then the requirements are displayed as read-only context without being used for ATS-style matching.","WorkLattice","Define Job Roles & Requirements"
"STORY","","As an HR admin, I want to maintain positions linked to org units and job roles so that the structure of seats in the organisation is clear.","As an HR admin, I want to maintain positions linked to org units and job roles so that the structure of seats in the organisation is clear.

Requirements: PW-ORG-05

Acceptance Criteria:
- Given an Org Unit and Job Role exist, when I create a Position with code and title and link it to them, then the Position is saved and appears under that Org Unit.
- Given Positions exist across Org Units, when I view the org chart, then positions are shown nested under their respective Org Units.","WorkLattice","Manage Positions & Reporting Lines"
"STORY","","As an HR admin, I want to configure primary and optional secondary reporting lines so that matrix structures are supported.","As an HR admin, I want to configure primary and optional secondary reporting lines so that matrix structures are supported.

Requirements: PW-ORG-06

Acceptance Criteria:
- Given two Positions exist, when I set Position A’s primary reports-to as Position B, then the system enforces that only one primary reporting line exists for Position A.
- Given a primary reporting line is set, when I add a secondary reports-to Position, then the secondary relationship is stored without affecting the primary.
- Given a manager views their team, when the system builds the hierarchy, then it uses primary reporting lines to determine direct reports.","WorkLattice","Manage Positions & Reporting Lines"
"STORY","","As an HR user, I want to assign an employee to a position so that we can track who occupies which seat at any given time.","As an HR user, I want to assign an employee to a position so that we can track who occupies which seat at any given time.

Requirements: PW-ORG-07

Acceptance Criteria:
- Given an Employee and Position exist, when I create a primary Position Assignment with a start date, then the system records it as the current primary assignment if no overlapping primary exists.
- Given an Employee already has a primary assignment for a period, when I attempt to create another overlapping primary assignment, then the system prevents the overlap or requires closing the previous assignment according to configuration.","WorkLattice","Manage Position Assignments & Movements"
"STORY","","As an HR user, I want to track assignment history so that transfers, promotions and secondments are visible over time.","As an HR user, I want to track assignment history so that transfers, promotions and secondments are visible over time.

Requirements: PW-ORG-08

Acceptance Criteria:
- Given an Employee has multiple Position Assignments over time, when I view their assignment history, then I see each assignment with position, org unit, primary/secondary flag, start date and end date.
- Given a manager views their current team, when the system calculates team membership, then only assignments active on today’s date are included.","WorkLattice","Manage Position Assignments & Movements"
"STORY","","As an HR admin, I want to configure leave types so that our leave policies, including wellness leave, are correctly represented.","As an HR admin, I want to configure leave types so that our leave policies, including wellness leave, are correctly represented.

Requirements: PW-LEAVE-01, PW-LEAVE-02

Acceptance Criteria:
- Given I am in leave settings, when I create a Leave Type with name, category, is-paid flag, attachment requirement and wellness flag, then the Leave Type is saved for the tenant.
- Given default leave types exist, when I review them, then I can edit their attributes to match our policies.","Leave","Configurable Leave Types & Policies"
"STORY","","As an HR admin, I want to configure leave accrual and caps per type so that balances are computed accurately.","As an HR admin, I want to configure leave accrual and caps per type so that balances are computed accurately.

Requirements: PW-LEAVE-02, PW-LEAVE-03

Acceptance Criteria:
- Given a Leave Type exists, when I set its accrual model, days per period, max annual entitlement, carry-forward rules and pro-rata rules, then the policy is stored for that type.
- Given accrual is configured, when an accrual job runs, then the system increases eligible employees’ balances according to the policy.","Leave","Configurable Leave Types & Policies"
"STORY","","As an HR admin, I want to define the active leave period so that balances are tracked within the correct year or fiscal cycle.","As an HR admin, I want to define the active leave period so that balances are tracked within the correct year or fiscal cycle.

Requirements: PW-LEAVE-04, PW-LEAVE-05

Acceptance Criteria:
- Given I choose a period type and set start and end dates, when I activate the Leave Period, then it becomes the default for balance calculations.
- Given the Leave Period ends, when I trigger rollover, then the system creates a new period and applies carry-forward rules to balances.","Leave","Leave Periods & Balance Accounting"
"STORY","","As an HR or system admin, I want the system to maintain leave balances per employee so that usage and accruals are transparent.","As an HR or system admin, I want the system to maintain leave balances per employee so that usage and accruals are transparent.

Requirements: PW-LEAVE-06, PW-LEAVE-07, PW-LEAVE-08

Acceptance Criteria:
- Given leave policies and an active Leave Period, when the system runs accrual, then it computes opening, accrued and closing balances by employee, type and period.
- Given a leave request is approved, when it is posted to balances, then the approved days are deducted from the appropriate balance.
- Given I perform a manual balance adjustment, when I save it, then the system updates the balance and logs an auditable adjustment record.","Leave","Leave Periods & Balance Accounting"
"STORY","","As an employee, I want to submit leave requests with visibility of my balance so that I avoid requesting more leave than I have.","As an employee, I want to submit leave requests with visibility of my balance so that I avoid requesting more leave than I have.

Requirements: PW-LEAVE-09, PW-LEAVE-10, PW-LEAVE-11

Acceptance Criteria:
- Given I open the leave request form, when I select a leave type, then my current available balance for that type is displayed.
- Given I enter start and end dates, when I submit the request, then the system validates overlaps, balance sufficiency and leave period boundaries.
- Given the requested duration exceeds my available balance, when I submit, then the system shows a clear warning or blocks submission according to configuration.","Leave","Employees Manage Their Own Leave"
"STORY","","As a manager, I want to approve or decline leave requests so that I can manage my team’s time off.","As a manager, I want to approve or decline leave requests so that I can manage my team’s time off.

Requirements: PW-LEAVE-12

Acceptance Criteria:
- Given I have direct reports, when they submit leave requests, then those requests appear in my approval queue.
- Given a leave request is pending my approval, when I approve it, then the system marks it as approved and updates balances and notifications as configured.
- Given a leave request is pending, when I decline it with a reason, then the system records the rejection and notifies the employee.","Leave","Flexible Leave Approval Workflows"
"STORY","","As an HR admin, I want to configure leave approval levels so that sensitive leave types are routed correctly.","As an HR admin, I want to configure leave approval levels so that sensitive leave types are routed correctly.

Requirements: PW-LEAVE-13

Acceptance Criteria:
- Given I configure a leave type with two-level approval (manager then HR), when an employee submits that type, then the request first goes to the manager and then to HR after manager approval.
- Given I mark a wellness leave type to notify a wellness champion, when such a request is approved, then the system sends a notification to the configured wellness contact.","Leave","Flexible Leave Approval Workflows"
"STORY","","As a manager, I want to view a team leave calendar so that I can quickly see who is off when.","As a manager, I want to view a team leave calendar so that I can quickly see who is off when.

Requirements: PW-LEAVE-14, PW-LEAVE-15

Acceptance Criteria:
- Given I have direct reports, when I open the team leave calendar, then I see approved and pending leave for my team in a calendar view.
- Given the calendar is displayed, when I apply filters by leave type, person or org unit, then only matching entries are shown.","Leave","Team Calendars & Capacity Protection"
"STORY","","As an HR or operations manager, I want to enforce simple roster rules so that critical teams are not understaffed.","As an HR or operations manager, I want to enforce simple roster rules so that critical teams are not understaffed.

Requirements: PW-LEAVE-16, PW-LEAVE-17, PW-LEAVE-18

Acceptance Criteria:
- Given an Org Unit exists, when I configure minimum staff on duty and/or maximum simultaneous leaves, then the system stores a roster rule for that unit.
- Given a new leave request would breach a roster rule, when a manager tries to approve it, then the system displays a warning explaining the breach.
- Given I have override permission, when I approve despite the warning, then the system allows approval and logs that a roster rule was overridden.","Leave","Team Calendars & Capacity Protection"
"STORY","","As an employee, I want to see my Recovery Index so that I understand whether I am taking enough rest.","As an employee, I want to see my Recovery Index so that I understand whether I am taking enough rest.

Requirements: PW-LEAVE-19, PW-LEAVE-20

Acceptance Criteria:
- Given my leave usage and entitlement, when the system computes my Recovery Index, then I get an index value and status based on configured rules.
- Given Recovery Index is computed, when I open my ESS dashboard, then I see my current index and a short explanation of its meaning.","Leave","Recovery Index for Rest & Recharge"
"STORY","","As a manager or HR user, I want to see Recovery Index distributions so that I can identify under-rested or at-risk groups.","As a manager or HR user, I want to see Recovery Index distributions so that I can identify under-rested or at-risk groups.

Requirements: PW-LEAVE-21, PW-LEAVE-22

Acceptance Criteria:
- Given Recovery Index exists for employees, when I open the manager Recovery view, then I see the distribution of statuses (green/amber/red) for my team.
- Given I am an HR user, when I view organization Recovery, then I see Recovery summaries grouped by org unit with filters for manager, department or period.","Leave","Recovery Index for Rest & Recharge"
"STORY","","As a platform or wellness owner, I want anonymised leave wellness signals generated so that ZHEP can drive interventions without exposing individuals.","As a platform or wellness owner, I want anonymised leave wellness signals generated so that ZHEP can drive interventions without exposing individuals.

Requirements: PW-LEAVE-23, PW-LEAVE-24

Acceptance Criteria:
- Given leave usage and Recovery data exists, when a scheduled job runs, then it produces aggregate metrics such as under-use of leave and long periods with no breaks by org unit or group.
- Given anonymisation settings per tenant, when wellness signals are sent to ZHEP, then no individually identifiable data is included where aggregation is required.","Leave","Leave-Based Wellness Signals to ZHEP"
"STORY","","As an HR user, I want to create performance cycles so that I can structure when appraisals happen and track their status.","As an HR user, I want to create performance cycles so that I can structure when appraisals happen and track their status.

Requirements: PW-PERF-01, PW-PERF-02

Acceptance Criteria:
- Given I create a performance cycle with code, name, start date, end date and status, when I save it, then the cycle is stored for the tenant.
- Given a cycle is in Planning, when I change its status to Active, then the system prevents structural changes that would break existing appraisals.
- Given a cycle is Closed, when I attempt to edit its dates, then the system blocks the edit or requires an admin override with audit.","Performance","Configure Performance Cycles & Templates"
"STORY","","As an HR user, I want to configure performance templates and sections so that different roles use tailored appraisal structures.","As an HR user, I want to configure performance templates and sections so that different roles use tailored appraisal structures.

Requirements: PW-PERF-03, PW-PERF-04, PW-PERF-05

Acceptance Criteria:
- Given I create a template and add sections with is-scoring and weight, when I save it, then the scoring sections’ weights must sum to the configured total (for example 100%).
- Given a template is mapped to a Job Role or family, when appraisals are created for employees in that role/family, then they use that template and its sections.
- Given a section is marked non-scoring, when appraisals are created, then that section does not contribute to numeric scoring but can still be mandatory.","Performance","Configure Performance Cycles & Templates"
"STORY","","As an HR user, I want to configure rating bands so that overall scores can be mapped to simple labels.","As an HR user, I want to configure rating bands so that overall scores can be mapped to simple labels.

Requirements: PW-PERF-19

Acceptance Criteria:
- Given I define rating bands with names and score ranges, when I save them, then ranges cannot overlap.
- Given rating bands exist, when an appraisal overall score is computed, then the system maps it to the matching band and stores that band.","Performance","Configure Performance Cycles & Templates"
"STORY","","As an HR user, I want to configure questions for narrative sections so that self reflection and values feedback are structured.","As an HR user, I want to configure questions for narrative sections so that self reflection and values feedback are structured.

Requirements: PW-PERF-06, PW-PERF-07

Acceptance Criteria:
- Given a template section exists, when I add questions with text, help text and response type, then the system stores them under that section.
- Given a template with questions is used in a cycle, when appraisals are generated, then each appraisal includes those questions for the relevant respondents.","Performance","Capture Rich Performance Feedback & Goals"
"STORY","","As an employee or manager, I want to capture answers for narrative questions so that appraisals include rich feedback from both sides.","As an employee or manager, I want to capture answers for narrative questions so that appraisals include rich feedback from both sides.

Requirements: PW-PERF-08, PW-PERF-09

Acceptance Criteria:
- Given an appraisal is in self-review, when the employee answers narrative questions, then self ratings and comments are stored per question.
- Given an appraisal is in manager-review, when the manager answers the same questions, then manager ratings and comments are stored in the same answer records.
- Given final agreed ratings are entered, when the appraisal is finalised, then the system stores final rating and comment for each question.","Performance","Capture Rich Performance Feedback & Goals"
"STORY","","As a manager or employee, I want to define KPI items per appraisal so that job-specific targets are reflected in scoring.","As a manager or employee, I want to define KPI items per appraisal so that job-specific targets are reflected in scoring.

Requirements: PW-PERF-10, PW-PERF-11

Acceptance Criteria:
- Given an appraisal has a KPI section, when I add KPI items with title, description, target and weight, then the system stores them and validates the total weight.
- Given KPI ratings are entered, when section scores are computed, then the KPI section score is calculated as a weighted sum of item ratings.","Performance","Capture Rich Performance Feedback & Goals"
"STORY","","As a manager or employee, I want to record OKR initiatives per appraisal so that key projects and contributions are reflected.","As a manager or employee, I want to record OKR initiatives per appraisal so that key projects and contributions are reflected.

Requirements: PW-PERF-12, PW-PERF-13

Acceptance Criteria:
- Given an appraisal has an OKR section, when I add initiatives with name, objective, role description and weight, then the system stores them and validates weight totals.
- Given ratings for initiatives are captured, when the OKR section score is computed, then it is calculated as a weighted average of initiative ratings.","Performance","Capture Rich Performance Feedback & Goals"
"STORY","","As an HR user, I want the system to generate appraisals for employees in a cycle so that everyone has the correct form assigned.","As an HR user, I want the system to generate appraisals for employees in a cycle so that everyone has the correct form assigned.

Requirements: PW-PERF-14

Acceptance Criteria:
- Given a cycle is Active and templates are mapped, when I trigger appraisal generation, then an appraisal is created for each in-scope employee with the correct template.
- Given new employees join mid-cycle, when I run generation for new joiners, then appraisals are created only for employees who meet the inclusion rules.","Performance","Run Appraisal Workflow & Scoring"
